enrolldt,price,downpmt,monthdue,pmttype,use,age,gender,default
2007/05/01,999,50,2.75,1,0,28,1,1
2007/03/10,1179,50,10,1,0,22,2,1
2007/02/13,840.29,50,11,1,0,28,2,1
2007/07/16,1166.94,50,4.33,5,0,28,2,1
2007/01/21,979,37,8.5,1,0,29,2,1
2007/01/22,345.72,5,28,1,0,32,1,1
2007/04/04,599,25,5.5,4,0,21,2,1
2007/06/04,1276.27,46,5.96,1,0,25,1,1
2007/02/01,814.95,25,5.83,1,0,29,2,1
2007/02/03,689,35,4,1,0,25,1,1
2007/02/28,712.49,5,23,1,0,22,1,1
2007/02/05,999,50,2.75,1,0,29,2,1
2007/03/06,599,26,5.5,1,0,24,1,1
2007/01/15,1059.77,40,5.96,1,0,23,1,1
2007/05/30,1105.47,100,14,1,0,0,2,1
2007/05/21,1108,70,8.5,1,0,0,2,1
2007/06/02,417.96,35,24,1,0,27,2,1
2007/03/03,1538.67,75,5.92,1,0,24,1,1
2007/04/25,1680.57,88,17,1,0,32,2,1
2007/03/03,1179,50,10,1,0,0,1,1
2007/05/01,2358,100,10,1,0,0,1,1
2007/06/02,859,35,8.5,1,0,33,1,1
2007/01/26,599,25,5.5,1,0,34,1,1
2007/03/21,759,150,2.75,1,0,31,1,1
2007/02/28,859,5,5.5,1,0,30,1,1
2007/05/30,999,40,5.5,1,0,44,2,1
2007/06/05,929.87,50,5.96,1,0,25,1,1
2007/09/04,645.43,1,4,4,0,24,1,1
2008/04/01,1154,75,5.1,1,0,30,2,1
2007/07/30,449,19,4,1,0,23,1,1
2007/09/20,1059.77,1,5.96,1,0,29,2,1
2007/07/03,949,50,4,5,0,0,2,1
2008/02/03,1248,30,6,1,0,22,1,1
2008/01/14,1545.81,30,5.51,1,0,52,2,1
2008/02/02,1216.73,75,11,1,0,28,1,1
2007/10/22,1079,150,15,1,0,42,2,1
2008/02/17,702.54,25,6.5,1,0,47,1,1
2008/02/02,1081.42,5,6.5,1,0,29,1,1
2007/12/23,899,100,4,1,0,20,1,1
2008/02/11,879,75,6,1,0,26,1,1
2008/01/27,1059.77,10,5.51,1,0,25,2,1
2008/01/28,648.42,25,5.51,1,0,21,1,1
2008/01/17,1476.83,100,5.5,1,0,39,2,1
2008/03/26,1566.32,100,14,1,0,24,1,1
2008/04/24,899,100,13.5,1,0,26,1,1
2008/02/19,2201.36,50,29,1,0,22,1,1
2008/03/21,781.71,75,19,1,0,24,1,1
2008/02/11,1081.42,40,6.5,1,0,38,2,1
2008/02/08,1248,55,6,1,0,42,2,1
2008/02/11,619,26,6,1,0,32,1,1
2008/02/11,879,36,6,1,0,18,1,1
2008/11/20,797.69,50,4,3,0,31,2,1
2008/04/02,1248,75,6,1,0,21,1,1
2008/05/02,1248,100,15,1,0,21,1,1
2008/07/20,1162.61,25,5.96,3,0,27,1,1
2008/11/09,559.23,25,8,3,0,21,2,1
2008/11/21,1285.93,25,8,3,1,19,1,1
2008/11/14,1297.92,25,8,3,1,28,1,1
