"","y","AGE","INCOME","TRAVTIME","BLUEBOOK","OLDCLAIM","CLM_FREQ","MVR_PTS"
"1",0,60,67349.38162,13.95058624,14230,4461,2,3
"2",0,43,91449.25464,21.94320893,14940,0,0,0
"3",0,35,16038.5871,5,4010,38690,2,3
"4",0,51,NA,31.90464721,15440,0,0,0
"6",1,34,125301.2425,45.70301258,17430,0,0,0
"7",0,54,18755.47848,33.2905674,8780,0,0,0
"8",1,37,107961.201,44.0644103,16970,2374,1,10
"10",0,50,106951.5401,47.93152894,18510,0,0,1
"11",1,53,77099.96624,15.41567565,18300,0,0,0
"14",1,53,130794.5742,63.83861001,28340,0,0,3
"15",1,45,0,48.36019147,6000,0,0,3
"16",0,39,51884.11128,43.11028862,10590,0,0,0
"17",0,42,59944.83769,42.38538864,14190,0,0,0
"18",0,34,34019.45037,27.38466856,8300,0,0,0
"19",0,31,18902.50245,47.55963455,17330,0,0,0
"20",1,28,44077.28897,29.48024404,8710,8935,2,0
"21",1,43,37214.24479,52.39410819,26560,0,0,3
"22",0,48,96274.01971,36.1809267,11130,8250,1,5
"23",0,47,46281.0036,29.01285285,19700,0,0,1
"26",1,32,31274.72352,26.39296083,10030,0,0,0
"27",0,44,45488.14625,15.83954883,22090,0,0,0
"28",0,35,72192.6669,25.98731284,12220,0,0,3
"30",0,49,49243.56864,30.13011991,15880,0,0,1
"31",0,52,51277.52893,36.91782133,1500,0,0,1
"33",0,39,35081.4222,37.82723225,16640,0,0,0
"34",0,56,0,64.99909878,13220,0,0,0
"35",0,49,115044.3555,17.73508239,17900,0,0,0
"36",0,38,37753.57313,46.68134109,12080,0,0,2
"37",0,43,145352.9518,37.86751152,29450,0,0,0
"38",0,63,121398.2642,10.14058187,16270,0,0,0
"39",0,52,0,48.0740963,9280,0,0,1
"40",0,35,14508.13637,22.04226929,6450,0,0,0
"42",0,41,32773.64307,43.77669787,20120,0,0,0
"44",0,31,26519.97586,62.25635134,4600,0,0,2
"46",0,53,107259.3148,36.15596606,29230,0,0,0
"48",0,33,32364.46146,39.93090522,12270,0,0,3
"49",0,59,106775.4885,10.48662474,31930,0,0,0
"50",1,40,16988.72135,20.45001583,12230,26104,1,13
