INDEX,TARGET_FLAG,TARGET_AMT,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY,YOJ_Missing,Income_Missing,HOME_Val_Missing,CAR_AGE_Missing,AGE_Missing
1,0,0,0,60,0,11,67349.38162,No,0,z_No,M,PhD,Professional,13.95058624,Private,14230,11,Minivan,yes,4461,2,No,3,18,Highly Urban/ Urban,0,0,0,0,0
2,0,0,0,43,0,11,91449.25464,No,257251.6354,z_No,M,z_High School,z_Blue Collar,21.94320893,Commercial,14940,1,Minivan,yes,0,0,No,0,1,Highly Urban/ Urban,0,0,0,0,0
4,0,0,0,35,1,10,16038.5871,No,124190.7529,Yes,z_F,z_High School,Clerical,5,Private,4010,4,z_SUV,no,38690,2,No,3,10,Highly Urban/ Urban,0,0,0,0,0
5,0,0,0,51,0,14,NA,No,306251.3806,Yes,M,<High School,z_Blue Collar,31.90464721,Private,15440,7,Minivan,yes,0,0,No,0,6,Highly Urban/ Urban,0,1,0,0,0
6,0,0,0,50,0,NA,114985.6428,No,243925.2981,Yes,z_F,PhD,Doctor,36.01333444,Private,18000,1,z_SUV,no,19217,2,Yes,3,17,Highly Urban/ Urban,1,0,0,0,0
7,1,2946,0,34,1,12,125301.2425,Yes,0,z_No,z_F,Bachelors,z_Blue Collar,45.70301258,Commercial,17430,1,Sports Car,no,0,0,No,0,7,Highly Urban/ Urban,0,0,0,0,0
8,0,0,0,54,0,NA,18755.47848,No,NA,Yes,z_F,<High School,z_Blue Collar,33.2905674,Private,8780,1,z_SUV,no,0,0,No,0,1,Highly Urban/ Urban,1,0,1,0,0
11,1,4021,1,37,2,NA,107961.201,No,333679.5408,Yes,M,Bachelors,z_Blue Collar,44.0644103,Commercial,16970,1,Van,yes,2374,1,Yes,10,7,Highly Urban/ Urban,1,0,0,0,0
12,1,2501,0,34,0,10,62977.82416,No,0,z_No,z_F,Bachelors,Clerical,33.63994919,Private,11200,1,z_SUV,no,0,0,No,0,1,Highly Urban/ Urban,0,0,0,0,0
13,0,0,0,50,0,7,106951.5401,No,0,z_No,M,Bachelors,Professional,47.93152894,Commercial,18510,7,Van,no,0,0,No,1,17,z_Highly Rural/ Rural,0,0,0,0,0
14,1,6077,0,53,0,14,77099.96624,No,0,z_No,z_F,Masters,Lawyer,15.41567565,Private,18300,1,Sports Car,no,0,0,No,0,11,Highly Urban/ Urban,0,0,0,0,0
15,0,0,0,43,0,5,52642.09523,No,209969.8701,Yes,z_F,Masters,Professional,35.62176263,Private,22420,7,Minivan,no,0,0,No,0,1,z_Highly Rural/ Rural,0,0,0,0,0
16,0,0,0,55,0,11,59162.32016,No,180231.9899,Yes,M,Bachelors,Manager,24.69503515,Commercial,17600,7,Van,yes,5028,2,Yes,3,9,Highly Urban/ Urban,0,0,0,0,0
17,1,1267,0,53,0,11,130794.5742,No,0,z_No,M,PhD, ,63.83861001,Commercial,28340,6,Panel Truck,yes,0,0,No,3,10,Highly Urban/ Urban,0,0,0,0,0
19,1,2920.16732,0,45,0,0,0,No,106859.3699,Yes,z_F,<High School,Home Maker,48.36019147,Private,6000,1,z_SUV,no,0,0,No,3,5,Highly Urban/ Urban,0,0,0,0,0
20,0,0,0,39,3,12,51884.11128,Yes,180950.8347,z_No,z_F,Bachelors,Clerical,43.11028862,Private,10590,6,z_SUV,no,0,0,No,0,13,z_Highly Rural/ Rural,0,0,0,0,0
22,0,0,0,42,0,11,59944.83769,No,192207.4365,Yes,M,Masters,Lawyer,42.38538864,Private,14190,6,Minivan,no,0,0,No,0,16,Highly Urban/ Urban,0,0,0,0,0
23,0,0,0,34,3,13,34019.45037,No,91875.18631,Yes,z_F,Masters,Lawyer,27.38466856,Private,8300,7,z_SUV,no,0,0,No,0,20,Highly Urban/ Urban,0,0,0,0,0
24,0,0,0,31,2,12,18902.50245,No,93797.38905,Yes,z_F,<High School,Clerical,47.55963455,Private,17330,4,Minivan,no,0,0,No,0,7,Highly Urban/ Urban,0,0,0,0,0
25,1,6857,0,28,1,13,44077.28897,No,170597.8046,Yes,z_F,z_High School,z_Blue Collar,29.48024404,Commercial,8710,6,z_SUV,no,8935,2,No,0,1,Highly Urban/ Urban,0,0,0,0,0
26,1,3627,0,43,0,13,37214.24479,No,NA,Yes,M,<High School,z_Blue Collar,52.39410819,Commercial,26560,1,Panel Truck,yes,0,0,No,3,1,Highly Urban/ Urban,0,0,1,0,0
27,0,0,0,48,0,14,96274.01971,No,282904.4197,Yes,z_F,Masters,Lawyer,36.1809267,Private,11130,6,z_SUV,no,8250,1,No,5,14,Highly Urban/ Urban,0,0,0,0,0
28,0,0,0,47,0,11,46281.0036,No,0,z_No,z_F,<High School,z_Blue Collar,29.01285285,Private,19700,10,Minivan,no,0,0,No,1,5,Highly Urban/ Urban,0,0,0,0,0
29,0,0,2,44,2,0,0,No,82343.5475,Yes,z_F,z_High School,Home Maker,8.073275223,Private,5900,6,z_SUV,no,3338,3,No,0,11,Highly Urban/ Urban,0,0,0,0,0
32,0,0,0,33,1,13,79606.24445,No,225962.4832,Yes,z_F,Bachelors,Professional,27.00054836,Private,16830,9,z_SUV,no,0,0,No,2,15,z_Highly Rural/ Rural,0,0,0,0,0
33,1,4486,0,32,1,9,31274.72352,No,118160.4786,Yes,z_F,z_High School,Clerical,26.39296083,Private,10030,1,z_SUV,no,0,0,No,0,1,Highly Urban/ Urban,0,0,0,0,0
34,0,0,1,44,2,17,45488.14625,No,219378.0587,Yes,M,Bachelors,Manager,15.83954883,Private,22090,17,Minivan,no,0,0,No,0,12,Highly Urban/ Urban,0,0,0,0,0
35,0,0,0,35,0,8,72192.6669,No,0,z_No,z_F,Bachelors,Clerical,25.98731284,Private,12220,6,z_SUV,no,0,0,No,3,12,Highly Urban/ Urban,0,0,0,0,0
36,0,0,0,40,2,0,NA,No,98777.42049,Yes,z_F,Masters,Home Maker,15.1094765,Private,14130,6,z_SUV,no,38127,2,Yes,4,12,z_Highly Rural/ Rural,0,1,0,0,0
38,0,0,0,49,0,5,49243.56864,No,163444.4867,Yes,M,Bachelors,Clerical,30.13011991,Private,15880,1,Minivan,no,0,0,No,1,1,Highly Urban/ Urban,0,0,0,0,0
40,0,0,0,52,0,8,51277.52893,No,230339.5386,Yes,z_F,Bachelors,Professional,36.91782133,Private,1500,4,z_SUV,no,0,0,No,1,10,Highly Urban/ Urban,0,0,0,0,0
41,0,0,0,41,0,7,92842.35466,No,286113.4804,z_No,M,Masters, ,12.37757105,Commercial,25810,6,Panel Truck,no,1431,2,No,5,15,Highly Urban/ Urban,0,0,0,0,0
