INDEX,TARGET_FLAG,TARGET_AMT,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY
1,0,0,0,60,0,11,67349.3816169868,No,0,z_No,M,PhD,Professional,13.9505862426998,Private,14230,11,Minivan,yes,4461,2,No,3,18,Highly Urban/ Urban
2,0,0,0,43,0,11,91449.2546351364,No,257251.63538943,z_No,M,z_High School,z_Blue Collar,21.9432089275606,Commercial,14940,1,Minivan,yes,0,0,No,0,1,Highly Urban/ Urban
4,0,0,0,35,1,10,16038.5871010253,No,124190.752859313,Yes,z_F,z_High School,Clerical,5,Private,4010,4,z_SUV,no,38690,2,No,3,10,Highly Urban/ Urban
5,0,0,0,51,0,14, ,No,306251.380643571,Yes,M,<High School,z_Blue Collar,31.9046472089438,Private,15440,7,Minivan,yes,0,0,No,0,6,Highly Urban/ Urban
6,0,0,0,50,0, ,114985.642811351,No,243925.298096985,Yes,z_F,PhD,Doctor,36.0133344436959,Private,18000,1,z_SUV,no,19217,2,Yes,3,17,Highly Urban/ Urban
7,1,2946,0,34,1,12,125301.242537081,Yes,0,z_No,z_F,Bachelors,z_Blue Collar,45.7030125817424,Commercial,17430,1,Sports Car,no,0,0,No,0,7,Highly Urban/ Urban
8,0,0,0,54,0, ,18755.4784776606,No, ,Yes,z_F,<High School,z_Blue Collar,33.2905673974861,Private,8780,1,z_SUV,no,0,0,No,0,1,Highly Urban/ Urban
11,1,4021,1,37,2, ,107961.201044019,No,333679.540818327,Yes,M,Bachelors,z_Blue Collar,44.0644102981132,Commercial,16970,1,Van,yes,2374,1,Yes,10,7,Highly Urban/ Urban
12,1,2501,0,34,0,10,62977.8241610145,No,0,z_No,z_F,Bachelors,Clerical,33.6399491915796,Private,11200,1,z_SUV,no,0,0,No,0,1,Highly Urban/ Urban
13,0,0,0,50,0,7,106951.540105994,No,0,z_No,M,Bachelors,Professional,47.9315289418142,Commercial,18510,7,Van,no,0,0,No,1,17,z_Highly Rural/ Rural
14,1,6077,0,53,0,14,77099.9662427782,No,0,z_No,z_F,Masters,Lawyer,15.4156756453081,Private,18300,1,Sports Car,no,0,0,No,0,11,Highly Urban/ Urban
15,0,0,0,43,0,5,52642.0952333056,No,209969.870087674,Yes,z_F,Masters,Professional,35.6217626262002,Private,22420,7,Minivan,no,0,0,No,0,1,z_Highly Rural/ Rural
16,0,0,0,55,0,11,59162.320160269,No,180231.989850855,Yes,M,Bachelors,Manager,24.6950351514836,Commercial,17600,7,Van,yes,5028,2,Yes,3,9,Highly Urban/ Urban
17,1,1267,0,53,0,11,130794.574171295,No,0,z_No,M,PhD, ,63.8386100070406,Commercial,28340,6,Panel Truck,yes,0,0,No,3,10,Highly Urban/ Urban
19,1,2920.16731997648,0,45,0,0,0,No,106859.369854778,Yes,z_F,<High School,Home Maker,48.3601914663597,Private,6000,1,z_SUV,no,0,0,No,3,5,Highly Urban/ Urban
20,0,0,0,39,3,12,51884.1112777599,Yes,180950.834722593,z_No,z_F,Bachelors,Clerical,43.1102886241844,Private,10590,6,z_SUV,no,0,0,No,0,13,z_Highly Rural/ Rural
