id,age,educ,polviews,spanking,gender
2577,43,16, ,3,1
12,43,16,3,4,1
413,43,16,4,1,1
1012,43,16,3, ,1
2804,43,16,6, ,1
218,43,16,4,2,1
572,43,16,3, ,1
2805,43,16,6,4,1
628,43,16,3, ,1
1994,38,16,6, ,1
1254,38,16,3, ,1
2814,38,16,4,2,1
946,38,16,4,2,1
537,38,16,5, ,1
313,38,16,2, ,1
1300,38,16,6,1,1
1297,38,16,2, ,1
2670,38,16,3,2,1
95,38,16,2,4,1
88,38,16,6, ,1
291,36,12, ,1,1
1097,36,12,2,2,1
249,36,12,2, ,1
416,36,12,4, ,1
2082,36,12,4,2,1
1901,36,12,2,2,1
586,36,12,5,3,1
1383,36,12,4, ,1
1193,36,12,4,3,1
2845,36,12,2,2,1
1773,36,12,4,2,1
2485,36,12,6,2,1
1633,36,12,6, ,1
433,36,12,4,2,1
2291,33,12,3,3,1
2730,33,12,4,2,1
2904,33,12,3,3,1
1119,33,12,2,2,1
1350,33,12,5,2,1
2203,33,12,4, ,1
2817,33,12,4, ,1
515,33,12,4, ,1
2166,33,12,4, ,1
1873,33,12,3,3,1
2370,33,12,6,2,1
1439,33,12,5,1,1
1757,33,12,4,2,1
2533,33,12,5,1,1
314,33,12,4,2,1
2324,33,12,6, ,1
2136,33,12,7,1,1
1978,33,12,2,3,1
2298,33,12,4, ,1
2039,26,0, , ,1
825,53,0,6, ,1
1907,60,0,2,2,1
463,62,0,6,2,1
2565,62,3, ,1,0
1349,64,3,7, ,0
2355,38,12,4,2,1
569,38,12,3, ,1
471,38,12,2,1,1
2135,38,12,6,1,1
2880,38,12,5, ,1
1261,38,12,4,2,1
2715,38,12,4, ,1
1144,38,12,4, ,1
1601,38,12,4,2,1
2035,38,12,6,1,1
2320,38,12,6,2,1
704,38,12,4,2,1
2843,38,12,4, ,1
32,74,3, , ,0
99,19,7,4, ,0
900,36,6,4,3,0
2653,68,4,6, ,0
2661,41,3, ,1,1
22,28,4,3,4,1
480,60,5,4, ,0
2689,89,3,4, ,0
1987,32,7, ,2,0
2569,35,7, ,2,0
1121,64,5,2,1,0
2692,24,8, ,2,0
2566,56,3,5,1,1
1428,57,6,4,2,0
1384,72,5,4,1,0
2207,29,8,4,2,0
666,30,5,3,2,1
2108,46,7,6,2,0
2152,50,18,5,4,1
1087,50,18,5, ,1
448,50,18,3,3,1
1139,50,18,2,4,1
2093,50,18,2,2,1
153,50,18,4,1,1
2304,61,6,6,2,0
1704,18,9,3,4,0
2651,33,8,5, ,0
440,35,5,6,4,1
1497,21,9,5,4,0
562,37,5,1, ,1
2335,37,8,4,1,0
1490,23,9,5,3,0
2216,38,8,6, ,0
1164,24,9, ,1,0
2630,53,7,7,1,0
824,68,6,4,1,0
107,40,8,5,2,0
2623,71,3,6,1,1
48,27,9, ,3,0
2272,30,9,3,2,0
344,46,8,1,3,0
1018,76,6,6,2,0
767,19,7,6, ,1
