RACE,RINCOME,VOLTEER,GENDER,EDUCATE,COUNT,DEV1,ADJDEV,DELTA1,COUNT1,DEV2,DEV3
1,8,1,1,6,.161129519343376,1.40476071834564,1.81996440887451,1.40684330463409,.12854166328907,1.53625762462616,1.52822124958038
0,10,0,1,17,.422549605369568,-.919292747974396,-.662897527217865,-.921688795089722,.3620266020298,-.850913166999817,-.829081892967224
0,12,0,0,12,.218029737472534,-.660347998142242,-.303411573171616,-.661336243152618,.188052818179131,-.61327451467514,-.598287522792816
0,9,0,1,13,.264613896608353,-.727480411529541,-.403482347726822,-.728573858737946,.22507119178772,-.670926511287689,-.667977631092072
0,11,0,1,13,.296464443206787,-.770018756389618,-.463919371366501,-.771362721920013,.239729464054108,-.692429721355438,-.690679728984833
1,12,0,1,19,.769655764102936,-1.24068999290466,-1.05071318149567,-1.24379503726959,.616859614849091,-1.1107292175293,-1.04355871677399
1,12,0,1,16,.565402507781982,-1.06339311599731,-.841742038726807,-1.06457030773163,.442228257656097,-.940455496311188,-.898634970188141
1,12,0,1,16,.565402507781982,-1.06339311599731,-.841742038726807,-1.06457030773163,.442228257656097,-.940455496311188,-.898634970188141
1,10,0,1,16,.504658699035645,-1.0046478509903,-.770036041736603,-1.00544476509094,.415188193321228,-.911249876022339,-.869097530841827
1,2,0,0,16,.246642097830772,-.702341914176941,-.366747170686722,-.70449960231781,.273953318595886,-.740207195281982,-.680815935134888
1,12,0,0,15,.392844647169113,-.886391162872314,-.620478928089142,-.887015104293823,.336127579212189,-.81991171836853,-.765524566173553
1,12,0,0,19,.592660427093506,-1.08872437477112,-.872230410575867,-1.09096932411194,.523870527744293,-1.02359223365784,-.934409499168396
0,10,0,0,13,.215676099061966,-.65677410364151,-.297895342111588,-.657662987709045,.19726873934269,-.628122210502625,-.608190536499023
0,10,1,0,12,.194605782628059,1.28948450088501,1.6672922372818,1.29113471508026,.176554307341576,1.34957849979401,1.38185369968414
0,12,0,0,15,.296793580055237,-.770446121692657,-.464516520500183,-.771875739097595,.262312918901443,-.724310576915741,-.69477391242981
0,12,0,1,12,.28314334154129,-.752520203590393,-.439303010702133,-.753984153270721,.22143292427063,-.665481686592102,-.668174028396606
0,9,0,1,11,.215436905622482,-.656409800052643,-.297331869602203,-.657338917255402,.180285170674324,-.600475072860718,-.604606568813324
