"","TARGET_FLAG","JOB_.","JOB_Clerical","JOB_Doctor","JOB_Home.Maker","JOB_Lawyer","JOB_Manager","JOB_Professional","JOB_Student","JOB_z_Blue.Collar","JOB.category"
"1",0,0,0,0,0,0,0,1,0,0,1
"2",0,0,0,0,0,0,0,0,0,1,1
"6",1,0,0,0,0,0,0,0,0,1,1
"9",1,0,1,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,1,0,0,1
"11",1,0,0,0,0,1,0,0,0,0,1
"13",0,0,0,0,0,0,1,0,0,0,1
"14",1,1,0,0,0,0,0,0,0,0,1
"15",1,0,0,0,1,0,0,0,0,0,0
"16",0,0,1,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,1,0,0,0,0,1
"19",0,0,1,0,0,0,0,0,0,0,0
"20",1,0,0,0,0,0,0,0,0,1,1
"22",0,0,0,0,0,1,0,0,0,0,1
"24",0,0,0,0,1,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,1,0,0,1
"26",1,0,1,0,0,0,0,0,0,0,0
"27",0,0,0,0,0,0,1,0,0,0,1
"30",0,0,1,0,0,0,0,0,0,0,0
"31",0,0,0,0,0,0,0,1,0,0,1
"32",0,1,0,0,0,0,0,0,0,0,1
"33",0,0,0,0,0,0,0,0,0,1,1
"35",0,0,0,1,0,0,0,0,0,0,1
"36",0,0,1,0,0,0,0,0,0,0,0
"37",0,1,0,0,0,0,0,0,0,0,1
"39",0,0,0,0,0,0,0,0,1,0,0
"40",0,0,0,0,0,0,0,0,1,0,0
"43",0,0,1,0,0,0,0,0,0,0,0
"44",0,0,0,0,0,0,0,0,1,0,0
"47",0,0,1,0,0,0,0,0,0,0,0
"48",0,0,1,0,0,0,0,0,0,0,0
"50",1,0,0,0,0,0,0,0,0,1,1
"51",1,0,0,0,1,0,0,0,0,0,0
"52",0,0,0,0,0,0,1,0,0,0,1
"53",1,0,0,0,0,1,0,0,0,0,1
"57",0,0,0,0,0,0,0,1,0,0,1
"58",1,0,1,0,0,0,0,0,0,0,0
"59",0,0,0,0,1,0,0,0,0,0,0
"60",1,0,0,0,0,0,1,0,0,0,1
"62",0,0,0,0,0,0,1,0,0,0,1
"63",0,0,0,0,0,1,0,0,0,0,1
"66",0,0,0,1,0,0,0,0,0,0,1
"67",0,0,0,0,0,0,0,1,0,0,1
"72",1,0,1,0,0,0,0,0,0,0,0
"73",0,0,0,0,0,0,0,1,0,0,1
"74",0,0,0,0,0,0,0,0,0,1,1
"76",0,0,0,0,0,0,0,0,0,1,1
"78",1,0,0,0,0,0,0,0,0,1,1
"80",0,0,0,0,0,0,0,1,0,0,1
"85",0,0,0,0,0,1,0,0,0,0,1
"86",1,0,0,0,1,0,0,0,0,0,0
"87",0,0,0,0,0,0,0,1,0,0,1
"88",1,0,0,0,0,1,0,0,0,0,1
"91",0,0,1,0,0,0,0,0,0,0,0
"92",1,0,0,0,0,0,0,0,1,0,0
"94",0,0,0,0,0,1,0,0,0,0,1
"95",1,0,0,0,0,0,0,1,0,0,1
"96",0,0,0,0,0,0,0,0,0,1,1
"97",0,0,0,0,0,0,0,1,0,0,1
"98",0,0,0,0,0,0,0,1,0,0,1
"99",1,0,0,0,0,0,0,0,0,1,1
"104",0,0,0,0,0,0,1,0,0,0,1
"105",1,0,0,0,0,0,1,0,0,0,1
"106",0,0,0,0,0,0,0,0,0,1,1
"107",0,0,0,0,0,0,0,1,0,0,1
"108",0,0,0,0,0,0,1,0,0,0,1
"110",1,0,0,0,0,0,0,0,0,1,1
"111",0,0,0,0,0,0,0,0,0,1,1
"113",0,0,1,0,0,0,0,0,0,0,0
"114",0,0,1,0,0,0,0,0,0,0,0
"115",0,1,0,0,0,0,0,0,0,0,1
"117",0,0,0,0,0,0,0,1,0,0,1
"121",0,0,0,0,0,1,0,0,0,0,1
"123",0,0,1,0,0,0,0,0,0,0,0
"124",0,0,0,0,0,1,0,0,0,0,1
"126",0,0,0,0,0,0,0,0,0,1,1
"127",0,0,0,0,0,1,0,0,0,0,1
"129",1,0,0,0,0,1,0,0,0,0,1
"131",0,0,0,0,0,0,0,0,0,1,1
"133",0,0,0,0,0,0,0,0,1,0,0
"134",0,0,0,0,0,0,1,0,0,0,1
"135",0,0,1,0,0,0,0,0,0,0,0
"136",0,0,1,0,0,0,0,0,0,0,0
"137",0,0,0,0,0,0,0,1,0,0,1
"139",0,0,1,0,0,0,0,0,0,0,0
"140",0,0,0,0,0,0,1,0,0,0,1
"141",0,0,1,0,0,0,0,0,0,0,0
"142",0,0,0,0,1,0,0,0,0,0,0
"143",0,0,1,0,0,0,0,0,0,0,0
"146",0,0,0,0,0,0,0,0,0,1,1
"148",0,0,0,0,0,1,0,0,0,0,1
"149",0,0,0,0,0,0,0,1,0,0,1
"150",0,0,0,0,0,0,0,0,0,1,1
"152",0,0,1,0,0,0,0,0,0,0,0
"154",1,0,0,1,0,0,0,0,0,0,1
"155",0,0,0,0,0,0,0,1,0,0,1
"156",0,0,0,0,1,0,0,0,0,0,0
"157",0,0,0,0,0,0,0,1,0,0,1
"158",0,0,1,0,0,0,0,0,0,0,0
"159",0,0,1,0,0,0,0,0,0,0,0
"160",0,0,0,0,1,0,0,0,0,0,0
"161",0,0,0,0,0,0,0,0,1,0,0
"162",1,0,1,0,0,0,0,0,0,0,0
"163",0,0,0,0,0,0,0,1,0,0,1
"164",1,0,0,0,1,0,0,0,0,0,0
"165",0,0,0,0,1,0,0,0,0,0,0
"166",0,0,1,0,0,0,0,0,0,0,0
"167",0,0,0,0,1,0,0,0,0,0,0
"168",0,1,0,0,0,0,0,0,0,0,1
"169",0,0,0,0,0,0,0,0,0,1,1
"172",0,0,0,0,0,0,1,0,0,0,1
"174",0,0,0,0,0,0,0,0,0,1,1
"175",0,0,0,0,0,1,0,0,0,0,1
"176",1,0,0,0,0,0,0,0,0,1,1
"177",1,0,1,0,0,0,0,0,0,0,0
"178",0,0,0,0,1,0,0,0,0,0,0
"180",0,0,0,0,0,0,0,1,0,0,1
"181",0,0,0,0,0,0,0,1,0,0,1
"183",0,0,0,0,0,0,1,0,0,0,1
"184",0,0,0,0,0,0,0,1,0,0,1
"185",0,0,0,0,0,1,0,0,0,0,1
"186",1,1,0,0,0,0,0,0,0,0,1
"189",1,0,0,0,1,0,0,0,0,0,0
"190",0,1,0,0,0,0,0,0,0,0,1
"193",0,0,0,0,0,1,0,0,0,0,1
"195",0,0,0,0,0,0,1,0,0,0,1
"196",0,0,0,0,0,0,1,0,0,0,1
"197",0,0,0,0,0,0,0,0,0,1,1
"198",0,1,0,0,0,0,0,0,0,0,1
"199",0,0,0,0,0,0,0,1,0,0,1
"200",0,0,0,0,1,0,0,0,0,0,0
"203",1,0,0,0,0,0,1,0,0,0,1
"207",0,0,0,0,0,0,0,0,0,1,1
"209",0,0,0,0,0,0,0,1,0,0,1
"210",0,0,0,0,0,0,0,0,0,1,1
"213",0,0,0,0,1,0,0,0,0,0,0
"215",0,0,0,0,0,0,0,1,0,0,1
"216",0,0,1,0,0,0,0,0,0,0,0
"218",1,0,0,0,0,0,1,0,0,0,1
"219",0,0,0,0,0,0,0,0,0,1,1
"220",0,0,0,0,0,0,0,0,0,1,1
"222",0,0,0,0,0,0,0,0,0,1,1
"223",0,0,0,0,0,0,1,0,0,0,1
"224",0,0,0,0,0,0,0,0,0,1,1
"225",0,0,0,0,0,0,0,0,1,0,0
"226",0,0,0,0,1,0,0,0,0,0,0
"228",0,0,0,0,0,1,0,0,0,0,1
"229",0,0,0,0,0,0,0,0,0,1,1
"233",0,0,0,0,0,0,0,0,0,1,1
"234",0,0,0,0,0,0,0,0,0,1,1
"237",1,0,0,0,0,1,0,0,0,0,1
"238",0,0,0,0,0,1,0,0,0,0,1
"239",1,1,0,0,0,0,0,0,0,0,1
"242",0,0,0,0,0,0,0,1,0,0,1
"245",0,0,0,0,0,0,0,0,1,0,0
"246",1,0,0,0,0,1,0,0,0,0,1
"251",0,0,0,0,1,0,0,0,0,0,0
"252",0,0,0,0,0,0,0,0,0,1,1
"253",0,0,0,0,0,0,0,1,0,0,1
"254",0,0,0,0,1,0,0,0,0,0,0
