STATE,ROBBRATE,LARCRATE,ASSRATE,BURGRATE,MURDRATE,FIPS,PERINC,SUICRATE,ASUICRAT,SUICRT65,POP_CEN,GSPROD,LAND,DENSITY,UNEMPRAT,POP_24,POP_65,PROPRATE,VIOLRATE,CRIMRATE,PERFEM,PERMALE,PERINCA,MIG_RATE
Alabama,185.75,2844.27,403.69,1024.83,11.1685868798495,1,19086,12.1,13.2,22.52,4270460,94988,50750,84.15,5.1,1522331,554871,4215.71,632.35,4848.06,.519415807762461,.480584192237539,12520.416,1967.00121298408
Alaska,155.13,3624.34,526.32,836.92,9.10596026490066,2, ,17.1,17.1,10.06,601581,23674,570374,1.05,7.8,249048,29805,4982.95,770.86,5753.81,.473806935581575,.526193064418425, ,-1163.60057914063
Arizona,173.76,4925.63,495.71,1416.83,10.4077761972499,4,20068,17.5,18.7,30.01,4307074,103951,113642,37.9,5.5,1559918,573119,7500.12,713.49,8213.61,.505025300718975,.494974699281025,13164.608,6802.76215361055
Arkansas,125.68,2815.42,379.83,996.9,10.426731078905,5,17935,14.1,14.5,18.01,2480080,53358,52075,47.63,5.4,902817,360856,4137.68,553.18,4690.86,.516567589397934,.483432410602066,11765.36,3185.38111673817
California,331.16,2856.87,590.26,1120.31,11.1779416885625,6,23901,11.1,11.7,20.95,31472342,913474,155973,201.78,7.2,11794990,3464871,4865.08,966.01,5831.09,.499344125291299,.500655874708701,15679.056,-4918.60440509956
Colorado,96.18,3634.48,298.75,934.11,5.76461168935148,8,24290,16.4,17.5,27.58,3738237,107903,103729,36.04,4.2,1332288,376965,4956.1,440.19,5396.29,.50360100972366,.49639899027634,15934.24,6553.89158044287
Connecticut,163.21,2668.73,214.41,888.4,4.58015267175572,9,32073,9.2,9.9,13.48,3261812,118595,4845,673.23,5.7,1063006,467282,4097.34,405.89,4503.24,.514325504320123,.485674495679877,21039.888,-4568.01311663578
Delaware,198.74,3114.23,442.54,905.3,3.48675034867503,10,25666,9.9,11.2,18.72,718700,26947,1955,367.62,8.5,243195,90775,4433.75,724.97,5158.72,.512669428944788,.487330571055212,16836.896,2782.80228189787
Florida,299.91,4322.4,715.11,1522.36,7.32034448679938,12,22665,13.4,15.3,23.22,14180200,339033,53937,262.9,5.1,4527812,2626203,6630.58,1070.95,7701.53,.514778991064325,.485221008935675,14868.24,4739.00227077192
Georgia,205.21,3678.27,407.14,1059.91,9.48479377864185,13,21689,10.9,11.5,19.75,7188510,200751,57919,124.11,4.6,2656841,718914,5346.55,657.09,6003.64,.512983937688419,.487016062311581,14227.984,4966.25865443604
Hawaii,130.83,5046.93,131.76,1165.29,4.71777590564448,15,24883,11.7,12,14.07,1183066,36034,6423,184.19,6.4,421248,149184,6902.95,295.62,7198.57,.494093443170697,.505906556829303,16323.248,-3211.99324467105
Idaho,23.99,3057.61,265.52,779.79,4.12725709372313,16,18947,15.4,16,30.79,1163542,26885,82751,14.06,5.2,471744,133146,4079.45,322.01,4401.46,.50037732224692,.49962267775308,12429.232,8508.5024863735
Illinois,330.85,3018.96,618.45,917.62,10.3212172442942,17,25297,9,9.5,14.73,11865976,352932,55593,213.44,5.3,4243261,1486610,4459.61,996.08,5455.69,.512159872044826,.487840127955174,16594.832,-2511.3821231393
Indiana,135.17,2819.54,348.29,821.58,8.03032914009995,18,21442,11.3,12.1,18.48,5786612,148801,35870,161.32,4.1,2074540,730444,4106.79,524.75,4631.54,.513082401291162,.486917598708838,14065.952,1140.5637703029
Iowa,53.03,2767.24,277.76,757.46,1.7945109078114,19,20462,11.3,11.8,15.01,2840620,71362,55875,50.84,3.8,997523,432932,3747.5,354.36,4101.86,.512996144314218,.487003855685782,13423.072,35.2035823165365
Kansas,108.19,3074.27,269.79,1068.38,6.19883040935673,20,21547,10.9,11.3,16.17,2574567,64146,81823,31.47,4.5,935071,352457,4466.2,420.74,4886.94,.507483564243971,.492516435756029,14134.832,-388.414828590594
Kentucky,103.65,1992.38,222.05,735.47,7.15025906735751,21,18609,11.6,12.4,17.66,3856107,90617,39732,97.05,5.6,1373705,486701,2986.99,364.74,3351.74,.514254926978485,.485745073021515,12207.504,1633.77209190513
Louisiana,268.59,3838.48,679.04,1231.71,17.0428374021188,22,18828,12.2,12.6,20.28,4328161,112944,43566,99.35,6.7,1696522,492950,5668.63,1007.39,6676.02,.517929854552898,.482070145447102,12351.168,-1571.10606560153
Maine,26.91,2292.02,81.14,726.43,2.01450443190975,23,19970,11.5,13,21.54,1233193,27748,30865,39.95,5.1,415617,171702,3153.26,131.43,3284.69,.512178541094099,.487821458905901,13100.32,-1216.35461764704
Maryland,423.13,3532.84,509.66,1057.52,11.8207060690202,24,26115,9.5,10.1,14.9,5023442,137353,9775,513.91,4.9,1706575,570266,5307.91,986.85,6294.76,.513410831544587,.486589168455413,17131.44,-278.693373985407
Massachusetts,150.43,2232.24,504.21,817.73,3.57260454395785,25,28073,7.7,8.1,6.88,6057923,195874,7838,772.89,4.3,1962314,856394,3654.45,687.17,4341.62,.517679726730574,.482320273269426,18415.888,-3202.41772633954
Michigan,187.3,2939.7,430.1,909.75,8.46161901769819,26,23434,9.5,10.1,15.98,9662881,251794,56809,170.09,4.9,3451767,1201038,4494.95,687.82,5182.77,.512823722670746,.487176277329254,15372.704,-1438.49437864339
Minnesota,123.69,3002.47,172.21,797.31,3.94793926247289,27,23759,10.8,11.3,14.45,4604947,131358,79617,57.84,4,1659318,574299,4141.24,356.1,4497.33,.507117498260418,.492882501739582,15585.904,1150.93615626847
Mississippi,130.89,2520.1,319.91,1131.07,12.9032258064516,28,16585,11.3,11.9,19.88,2690452,53647,46914,57.35,6.1,1062855,331835,4011.68,502.78,4514.46,.51992650350514,.48007349649486,10879.76,892.043418726667
Missouri,204.04,3050.9,418.78,932.55,8.809166040571,29,21610,12.8,13.5,19.68,5337355,137483,68898,77.47,4.6,1883323,741511,4456.76,663.77,5120.53,.515820116612321,.484179883387679,14176.16,1067.94470294743
Montana,29.08,3769.77,111.72,581.61,4.02298850574713,30,18310,21.3,23.1,38.43,868478,17722,145556,5.97,5.3,317559,114481,4625.98,171.38,4797.36,.502104323428134,.497895676571866,12011.36,5296.62236694539
Nebraska,65.18,3179.23,294.5,631.89,2.93219303604154,31,21078,10.9,11.4,17.96,1635414,43673,76878,21.27,2.9,602398,228197,4162.49,381.98,4544.47,.510619425297384,.489380574702616,13827.168,183.439789557873
